pid,ts,designation,stCounty,refFrame,epoch,lat,latDms,latP2p,lon,lonDms,lonP2p,ellHt,ellHtP2p,datum,orthoHt,orthoHtP2p,observed,agency,monumentType,monumentDesc,setting,specificSetting,stamping,stability,magnetic,condition,description
AA3808,23039061246,GPS CONTROL POINT 14,"CA,Contra Costa County",NAD_83(2011),2010.0000,38.0249746306,N380129.90867,0.016,-122.1392093306,W1220821.15359,0.018,-29.541,0.008,NAVD88 (Computed using GEOID18),2.555,0.061,2023-02-03 17:04:00+00:00,None,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,PT 14 LS 5672 1990,Monument will probably hold position well,No magnetic material,S,Recovered as described. Mark is down 1FT under irrigation control cover. Note: 18IN evergreen tree is 16FT westerly.
AA3811,22083063941,HPGN CA 10 13,"CA,San Joaquin County",NAD_83(2011),2010.0000,37.7218183306,N374318.54599,0.004,-121.5339070694,W1213202.06545,0.003,44.231,0.014,NAVD88 (Computed using GEOID18),76.275,0.055,2022-03-22 15:52:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod in sleeve (10FT+ or 3.048M+), ,HPGN-CALIF. STA. 10-13 1992,Monument will probably hold position well,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AA3823,23213184830,P3716+33.00 EBMUD,"CA,Contra Costa County",NAD_83(2011),2010.0000,38.0220824111,N380119.49668,0.024,-121.9416222000,W1215629.83992,0.017,-0.893,0.017,NAVD88 (Computed using GEOID18),31.209,0.068,2023-06-28 15:19:00+00:00,East Bay Municipal Utility District,Disk,Survey disk (other agency),Large structures with deep foundations, ,P3716+33.00 1991,Most reliable; expected to hold position well,No magnetic material,S, 
AA4251,21062191918,HPGN D CA 10 GK,"CA,Stanislaus County",NAD_83(2011),2010.0000,37.6386163694,N373819.01893,0.005,-120.8101416194,W1204836.50983,0.002,14.728,0.010,NAVD88 (Computed using GEOID18),46.324,0.054,2021-03-01 17:18:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 10-GK 1993,Monument will probably hold position well,Marker equipped with bar magnet,S,FOUND IN GOOD CONDITION AS DESCRIBED
AA4252,25230151743,HPGN D CA 10 FK,"CA,Stanislaus County",NAD_83(2011),2010.0000,37.4743778500,N372827.76026,0.005,-120.8491765500,W1205057.03558,0.002,-1.746,0.026,NAVD88 (Computed using GEOID18),30.316,0.064,2025-08-05 19:54:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,10-FK 1993,Monument will probably hold position well,Marker equipped with bar magnet,S,mark is in a known subsidence feature in california's central valley. mark will be impacted by groundwater overdraft and compaction of aquifers
AA4253,21095101254,HPGN D CA 10 BK,"CA,Merced County",NAD_83(2011),2010.0000,36.9169997194,N365501.19899,0.001,-120.8203290889,W1204913.18472,0.001,62.422,0.020,NAVD88 (Computed using GEOID18),95.719,0.060,2021-03-31 17:51:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 10-BK 1993,Monument will probably hold position well,Marker equipped with bar magnet,S,FOUND IN GOOD CONDITION AS DESCRIBED
AA4254,24344142243,CRANE,"CA,Merced County",NAD_83(2011),2010.0000,37.2297256694,N371347.01241,0.011,-120.7056901306,W1204220.48447,0.002,-4.374,0.022,NAVD88 (Computed using GEOID18),28.242,0.057,2024-12-03 20:38:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Set in top of concrete monument, ,USC GS CRANE RESET SAC DIST 1980,May hold commonly subject to ground movement,No magnetic material,S,Mark is located in an area with moderate to light seasonal subsidence and rebound
AA4256,20328145542,HPGN D CA 10 HG,"CA,San Joaquin County",NAD_83(2011),2010.0000,37.7300857694,N374348.30877,0.004,-121.3306330694,W1211950.27905,0.002,-22.525,0.004,NAVD88 (Computed using GEOID18),9.697,0.053,2020-11-06 17:00:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA 10-HG 1993,Monument will probably hold position well,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AA4257,22164143130,HPGN D CA 10 JF,"CA,San Joaquin County",NAD_83(2011),2010.0000,37.9439793306,N375638.32559,0.004,-121.4130458389,W1212446.96502,0.002,-31.775,0.002,NAVD88 (Computed using GEOID18),0.271,0.059,2021-11-18 19:19:00+00:00,East Bay Municipal Utility District,Disk,Survey disk (other agency),Light structures (other than listed below), ,CA-HPGN-DENSIFICATION STA. 10-JF 1993,May hold commonly subject to ground movement,No magnetic material,S, 
AA4258,25160133938,7 RS 406,"CA,Stanislaus County",NAD_83(2011),2010.0000,37.6811930306,N374052.29491,0.006,-120.4694630194,W1202810.06687,0.008,94.318,0.006,NAVD88 (Computed using GEOID18),124.554,0.059,2025-06-05 16:23:00+00:00,Wood Rodgers Inc.,Disk,Bench mark disk,In rock outcrop or ledge, ,7 RS 406 1940,Most reliable; expected to hold position well,No magnetic material,S,Monument is stable and in good condition.
AA9711,20035165149,F 670 RESET,"CA,Kings County",NAD_83(2011),2010.0000,36.3426566389,N362033.56390,0.006,-119.8085034500,W1194830.61242,0.005,31.326,0.001,NAVD88 (Computed using GEOID18),64.548,0.052,2020-01-27 16:38:00+00:00,Provost & Pritchard Consulting Group,Disk,Vertical control disk,Set in top of concrete monument, ,F 670 RESET 1993,May hold commonly subject to ground movement,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC5729,20154174409,X 1235 RESET,"CA,Merced County",NAD_83(2011),2010.0000,37.0565244306,N370323.48795,0.010,-120.8908202389,W1205326.95286,0.020,8.787,0.007,NAVD88 (Computed using GEOID18),42.043,0.054,2020-05-29 17:00:00+00:00,Provost & Pritchard Consulting Group,Disk,Vertical control disk,Retaining wall or concrete ledge, ,X 1235 RESET 1997,May hold commonly subject to ground movement,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC6101,19210122804,HPGN D CA 06 PH,"CA,Fresno County",NAD_83(2011),2010.0000,36.7284732806,N364342.50381,0.007,-119.5853632194,W1193507.30759,0.004,80.004,0.008,NAVD88 (Computed using GEOID18),111.271,0.066,2019-07-23 13:35:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 06-PH 1993,Monument will probably hold position well,Marker equipped with bar magnet,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC6103,19280143658,HPGN D CA 06 RF,"CA,Madera County",NAD_83(2011),2010.0000,36.8870066500,N365313.22394,0.004,-119.9816387389,W1195853.89946,0.011,54.372,0.015,NAVD88 (Computed using GEOID18),86.827,0.069,2019-09-25 13:06:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 06-RF 1993,Monument will probably hold position well,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC6105,20058145653,HPGN D CA 06 RG,"CA,Madera County",NAD_83(2011),2010.0000,36.9754395194,N365831.58227,0.004,-119.7937688000,W1194737.56768,0.009,99.511,0.014,NAVD88 (Computed using GEOID18),131.172,0.067,2020-02-25 14:48:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 06-RG 1993,Monument will probably hold position well,Marker equipped with bar magnet,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC6107,22136131949,HPGN D CA 06 MG,"CA,Fresno County",NAD_83(2011),2010.0000,36.4399621389,N362623.86370,0.009,-119.7991785806,W1194757.04289,0.004,36.556,0.018,NAVD88 (Computed using GEOID18),69.486,0.062,2022-04-30 14:39:00+00:00,"California State University, Fresno",Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 06-MG 1993,Monument will probably hold position well,Marker equipped with bar magnet,S,"RECOVERED AS DESCRIBED IN 1993.
OBSERVED AS PART OF A SCHOOL PROJECT AT CSU FRESNO."
AC6108,18232072158,HPGN D CA 06 NE,"CA,Fresno County",NAD_83(2011),2010.0000,36.4282433889,N362541.67620,0.007,-120.1035178000,W1200612.66408,0.020,32.111,0.032,NAVD88 (Computed using GEOID18),65.672,0.069,2018-08-15 15:39:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 06-NE 1993,Monument will probably hold position well,Marker equipped with bar magnet,S, 
AC6109,19189152806,HPGN D CA 06 NF,"CA,Fresno County",NAD_83(2011),2010.0000,36.5900797500,N363524.28710,0.014,-120.0608453611,W1200339.04330,0.017,23.429,0.006,NAVD88 (Computed using GEOID18),56.595,0.061,2019-06-20 21:10:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 06-NF 1993,Monument will probably hold position well,Marker equipped with bar magnet,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC6111,19192110523,HPGN D CA 06 NJ,"CA,Tulare County",NAD_83(2011),2010.0000,36.4515083500,N362705.43006,0.020,-119.4920995500,W1192931.55838,0.010,54.947,0.013,NAVD88 (Computed using GEOID18),86.765,0.057,2019-07-09 16:28:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 06-NJ 1993,Monument will probably hold position well,No magnetic material,S,Found in good condition as described
AC6114,19254152429,HPGN D CA 06 GH,"CA,Kern County",NAD_83(2011),2010.0000,35.7727574000,N354621.92664,0.014,-119.9747784306,W1195829.20235,0.018,122.927,0.007,NAVD88 (Computed using GEOID18),157.409,0.056,2019-09-04 16:35:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Footings of small/medium structures, ,CA-HPGN-DENSIFICATION STA. 06-GH 1996,May hold commonly subject to ground movement,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC6115,21326073932,HPGN D CA 06 HH,"CA,Kings County",NAD_83(2011),2010.0000,35.7898560889,N354723.48192,0.008,-119.5760062000,W1193433.62232,0.002,28.970,0.011,NAVD88 (Computed using GEOID18),63.385,0.067,2021-11-17 19:11:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 06-HH 1996,Monument will probably hold position well,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC6116,21330131151,HPGN D CA 06 JG,"CA,Kings County",NAD_83(2011),2010.0000,35.9341133611,N355602.80810,0.006,-119.6450028306,W1193842.01019,0.004,25.269,0.014,NAVD88 (Computed using GEOID18),59.493,0.067,2021-11-22 18:29:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Footings of small/medium structures, ,06JG,May hold commonly subject to ground movement,No magnetic material,G,FOUND IN GOOD CONDITION AS DESCRIBED
AC6117,20219202325,HPGN D CA 06 NC,"CA,Fresno County",NAD_83(2011),2010.0000,36.6045472500,N363616.37010,0.003,-120.5862436111,W1203510.47700,0.008,157.310,0.006,NAVD88 (Computed using GEOID18),190.715,0.068,2020-08-03 18:33:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Abutment or pier of large bridges, ,CA-HPGN-DENSIFICATION STA. 06-NC 1996,Monument will probably hold position well,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC6120,22243064350,HPGN D CA 06 CL,"CA,Kern County",NAD_83(2011),2010.0000,35.0753802306,N350431.36883,0.017,-119.2335066500,W1191400.62394,0.011,127.019,0.025,NAVD88 (Computed using GEOID18),161.018,0.067,2022-08-29 19:22:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Footings of small/medium structures, ,CA-HPGN-DENSIFICATION STA. 06-CL 1994,May hold commonly subject to ground movement,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC6121,20328140713,HPGN D CA 06 EN,"CA,Kern County",NAD_83(2011),2010.0000,35.3285235500,N351942.68478,0.004,-118.7898528500,W1184723.47026,0.011,231.007,0.014,NAVD88 (Computed using GEOID18),263.533,0.061,2020-11-04 15:51:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 06-EN 1994,Monument will probably hold position well,Marker equipped with bar magnet,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC6123,19347131038,HPGN D CA 06 FL,"CA,Kern County",NAD_83(2011),2010.0000,35.4399902889,N352623.96504,0.003,-119.0852407806,W1190506.86681,0.011,103.297,0.005,NAVD88 (Computed using GEOID18),136.639,0.059,2019-12-10 17:56:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Pavement (street sidewalk curb etc.), ,06-FL 1994,Monuments of questionable or unknown reliability,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC6124,19199102955,HPGN D CA 06 GK,"CA,Kern County",NAD_83(2011),2010.0000,35.6891290611,N354120.86462,0.024,-119.2288184694,W1191343.74649,0.010,80.609,0.064,NAVD88 (Computed using GEOID18),113.969,0.099,2019-07-16 14:26:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Abutment or pier of large bridges, ,CA-HPGN-DENSIFICATION STA. 06-GK 1994,Monument will probably hold position well,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC6125,21357115136,HPGN D CA 06 FN,"CA,Kern County",NAD_83(2011),2010.0000,35.4381532694,N352617.35177,0.012,-118.7982380194,W1184753.65687,0.013,207.314,0.006,NAVD88 (Computed using GEOID18),239.456,0.063,2021-12-21 17:28:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION 06 FN STA. 1993,Monument will probably hold position well,Marker equipped with bar magnet,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC6129,18255110417,HPGN D CA 06 LJ,"CA,Tulare County",NAD_83(2011),2010.0000,36.2029483306,N361210.61399,0.010,-119.4647721889,W1192753.17988,0.016,40.803,0.009,NAVD88 (Computed using GEOID18),73.608,0.053,2018-09-07 17:17:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Light structures (other than listed below), ,CA-HPGN-DENSIFICATION STA. 06-LJ 1993,Monuments of questionable or unknown reliability,No magnetic material,S, 
AC6131,19232080946,HPGN D CA 06 LL,"CA,Tulare County",NAD_83(2011),2010.0000,36.2100897111,N361236.32296,0.007,-119.1090418194,W1190632.55055,0.019,81.616,0.011,NAVD88 (Computed using GEOID18),113.156,0.064,2019-08-15 17:42:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 06-LL 1993,Monument will probably hold position well,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC6132,19189143105,HPGN D CA 06 JK,"CA,Tulare County",NAD_83(2011),2010.0000,35.9661602694,N355758.17697,0.011,-119.2933805694,W1191736.17005,0.024,44.934,0.038,NAVD88 (Computed using GEOID18),78.014,0.080,2019-07-02 16:33:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Light structures (other than listed below), ,CA-HPGN-DENSIFICATION STA. 06-JK 1993,Monuments of questionable or unknown reliability,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC6133,21361132754,HPGN D CA 06 KH,"CA,Kings County",NAD_83(2011),2010.0000,36.1377172611,N360815.78214,0.006,-119.5850512306,W1193506.18443,0.002,24.924,0.014,NAVD88 (Computed using GEOID18),58.322,0.062,2021-11-16 17:49:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Retaining wall or concrete ledge, ,06-KH 1993,May hold commonly subject to ground movement,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AC6136,24022150707,KT 200,"CA,Tulare County",NAD_83(2011),2010.0000,36.0592439694,N360333.27829,0.009,-118.9134608194,W1185448.45895,0.001,182.155,0.014,NAVD88 (Computed using GEOID18),213.333,0.069,2024-01-17 16:52:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Set in top of concrete monument, ,KT 200 1983 SACTO DIST,May hold commonly subject to ground movement,No magnetic material,G,RECOVERED IN GOOD CONDITION.
AC9217,16225084030,PELTIER AZ MK,"CA,San Joaquin County",NAD_83(2011),2010.0000,38.1833652917,N381100.11505,0.006,-121.2436873083,W1211437.27431,0.012,-9.836,0.010,NAVD88 (Computed using GEOID18),21.173,0.054,2016-01-13 22:14:00+00:00,Quantum Spatial,Disk,Azimuth mark disk,Set in top of concrete monument, ,PELTIER 1954,May hold commonly subject to ground movement,No magnetic material,G,Recovered as described
AC9218,21344120256,RIEGO RM 4,"CA,Sutter County",NAD_83(2011),2010.0000,38.7514418611,N384505.19070,0.022,-121.4849313000,W1212905.75268,0.015,-16.110,0.013,NAVD88 (Computed using GEOID18),14.384,0.060,2021-12-03 16:11:00+00:00,Sacramento County California,Disk,Reference mark disk,Set in top of concrete monument, ,RIEGO 1939 NO 4 1971,May hold commonly subject to ground movement,No magnetic material,S, 
AC9219,24012152158,HPGN D CA 03 BG,"CA,Yolo County",NAD_83(2011),2010.0000,38.5055582889,N383020.00984,0.005,-121.5819707694,W1213455.09477,0.011,-21.319,0.018,NAVD88 (Computed using GEOID18),9.738,0.061,2023-12-08 16:46:00+00:00,California Department of Fish and Wildlife,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 03-BG 1994,Monument will probably hold position well,No magnetic material,S, 
AC9220,21344140703,HPGN D CA 03 CH,"CA,Yolo County",NAD_83(2011),2010.0000,38.5735517694,N383424.78637,0.009,-121.5792146194,W1213445.17263,0.012,-22.926,0.005,NAVD88 (Computed using GEOID18),7.961,0.058,2021-12-03 15:58:00+00:00,Sacramento County California,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 03-CH 1994,Monument will probably hold position well,No magnetic material,S, 
AC9221,21342150636,F9 01,"CA,Yolo County",NAD_83(2011),2010.0000,38.6074190389,N383626.70854,0.006,-121.5598493611,W1213335.45770,0.007,-18.342,0.007,NAVD88 (Computed using GEOID18),12.454,0.060,2021-11-17 15:41:00+00:00,Sacramento County California,Disk,Survey disk (other agency),Set in top of concrete monument, ,RCE 30639 F9-01 93,May hold commonly subject to ground movement,No magnetic material,S, 
AC9222,21272195839,M 1 USGS RESET,"CA,Amador County",NAD_83(2011),2010.0000,38.3785661306,N382242.83807,0.008,-120.9849759500,W1205905.91342,0.016,60.022,0.009,NAVD88 (Computed using GEOID18),89.789,0.068,2021-09-24 14:43:00+00:00,Sacramento County California,Disk,Survey disk (other agency),Set in top of concrete monument, ,M1 1923 RESET 1970,May hold commonly subject to ground movement,No magnetic material,S, 
AC9223,24225180909,HPGN D CA 03 DG,"CA,Yolo County",NAD_83(2011),2010.0000,38.6409553500,N383827.43926,0.015,-121.7609992306,W1214539.59723,0.020,-7.320,0.012,NAVD88 (Computed using GEOID18),23.545,0.067,2024-08-06 19:33:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 03-DG 1994,Monument will probably hold position well,Marker equipped with bar magnet,S,FOUND IN GOOD CONDITION AS DESCRIBED. MARK IS IN A KNOWN SUBSIDENCE FEATURE
AC9226,21242135718,HPGN D CA 03 AA,"CA,Sacramento County",NAD_83(2011),2010.0000,38.6144737389,N383652.10546,0.006,-121.5144657500,W1213052.07670,0.007,-24.768,0.018,NAVD88 (Computed using GEOID18),5.988,0.063,2021-08-25 15:13:00+00:00,Sacramento County California,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 03-AA 1994,Monument will probably hold position well,No magnetic material,S, 
AC9227,21272184508,HPGN D CA 03 CL,"CA,Sacramento County",NAD_83(2011),2010.0000,38.4850579306,N382906.20855,0.003,-121.0506185694,W1210302.22685,0.015,64.692,0.007,NAVD88 (Computed using GEOID18),94.371,0.065,2021-09-22 15:23:00+00:00,Sacramento County California,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 03-CL 1994,Monument will probably hold position well,No magnetic material,S, 
AC9228,21344140958,HPGN D CA 03 BK,"CA,Sacramento County",NAD_83(2011),2010.0000,38.3359247306,N382009.32903,0.007,-121.1593050500,W1210933.49818,0.005,1.803,0.007,NAVD88 (Computed using GEOID18),32.080,0.057,2021-12-03 16:03:00+00:00,Sacramento County California,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 03-BK 1994,Monument will probably hold position well,No magnetic material,S, 
AC9237,21326163043,CONTROL MONUMENT LR 208,"CA,Sacramento County",NAD_83(2011),2010.0000,38.6551512000,N383918.54432,0.006,-121.3872719694,W1212314.17909,0.006,-7.223,0.011,NAVD88 (Computed using GEOID18),23.307,0.057,2021-11-19 16:58:00+00:00,Sacramento County California,Disk,Survey disk (other agency),Set in top of concrete monument, ,LR 208,May hold commonly subject to ground movement,No magnetic material,S, 
AC9242,21242154502,AM 1 208,"CA,Placer County",NAD_83(2011),2010.0000,38.7207752306,N384314.79083,0.001,-121.1703931806,W1211013.41545,0.009,120.851,0.041,NAVD88 (Computed using GEOID18),150.589,0.073,2021-08-13 16:31:00+00:00,Sacramento County California,Disk,Bench mark disk,Set in top of concrete monument, ,AM1 208 492.01,May hold commonly subject to ground movement,No magnetic material,S, 
AC9893,23353155325,RUSSELL RANCH 2,"CA,Yolo County",NAD_83(2011),2010.0000,38.5439075000,N383238.06700,0.005,-121.8760667111,W1215233.84016,0.017,-2.072,0.024,NAVD88 (Computed using GEOID18),29.238,0.064,2023-12-15 17:08:00+00:00,Frame Surveying and Mapping,Rod,Metal rod,Stainless steel rod without sleeve (10FT+ or 3.048M+), ,RR2 LS6721,Monument will probably hold position well,No magnetic material,S,Mark has a removeable Delrin adapter installed that allows a pole point to stay centered on the top of the SS rod.
AD9421,22180125321,HPGN D CA 10 JL,"CA,Tuolumne County",NAD_83(2011),2010.0000,37.8391222000,N375020.83992,0.004,-120.6264130306,W1203735.08691,0.002,136.497,0.006,NAVD88 (Computed using GEOID18),166.722,0.052,2022-06-27 16:16:00+00:00,Provost & Pritchard Consulting Group,Disk,Survey disk (other agency),In rock outcrop or ledge, ,CA-HPGN-D 10-JL 1992,Most reliable; expected to hold position well,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
AE6724,20311203847,RBL A,"CA,Tehama County",NAD_83(2011),2010.0000,40.1585599306,N400930.81575,0.015,-122.2536377000,W1221513.09572,0.007,76.583,0.005,NAVD88 (Computed using GEOID18),105.220,0.051,2020-10-07 15:10:00+00:00,NorthStar,Disk,Survey disk (other agency),Set in top of concrete monument, ,RBL A 1977,May hold commonly subject to ground movement,Other (see description),S, 
AE7864,22126123934,941 5498 D TIDAL,"CA,Solano County",NAD_83(2011),2010.0000,38.2365312000,N381411.51232,0.013,-122.0299152611,W1220147.69494,0.010,-29.155,0.014,NAVD88 (Computed using GEOID18),2.774,0.047,2022-03-31 19:26:00+00:00,"JOA Surveys, LLC",Disk,Tidal station disk,Footings of small/medium structures, ,5498 D 1977,Monument will probably hold position well,No magnetic material,S, 
AE7866,22095111909,941 5111 E,"CA,Solano County",NAD_83(2011),2010.0000,38.0464943500,N380247.37966,0.011,-122.1289280806,W1220744.14109,0.006,-28.333,0.007,NAVD88 (Computed using GEOID18),3.749,0.054,2022-02-25 17:24:00+00:00,"JOA Surveys, LLC",Disk,Tidal station disk, Copper-clad steel rod without sleeve (10FT+ or 3.048M+), ,5111 E 1976, Monument will probably hold position well, No magnetic material,S, 
AE9295,23073102936,HPGN D CA 02 CJ,"CA,Tehama County",NAD_83(2011),2010.0000,39.9065243500,N395423.48766,0.011,-122.2116650194,W1221241.99407,0.015,60.445,0.011,NAVD88 (Computed using GEOID18),89.052,0.062,2023-03-07 20:34:00+00:00,California Department of Transportation,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CA-HPGN-DENSIFICATION STA. 02-CJ 1996,Monument will probably hold position well,No magnetic material,S, 
AE9297,16023140023,HPGN D CA 02 GK,"CA,Tehama County",NAD_83(2011),2010.0000,40.3881294500,N402317.26602,0.010,-122.0114935972,W1220041.37695,0.004,291.966,0.018,NAVD88 (Computed using GEOID18),318.832,0.061,2015-09-18 15:47:00+00:00,Quantum Spatial,Disk,Survey disk (other agency),In rock outcrop or ledge, ,CA-HPGN-DENSIFICATION STA. 02-GK 1996,Monument will probably hold position well,No magnetic material,S,Recovered as described
AE9850,21277175335,RYER,"CA,Yolo County",NAD_83(2011),2010.0000,38.3446399694,N382040.70389,0.011,-121.6292124611,W1213745.16486,0.007,-30.498,0.020,NAVD88 (Computed using GEOID18),1.156,0.064,2021-09-29 15:21:00+00:00,Sacramento County California,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,RYER 1997,Monument will probably hold position well,No magnetic material,S, 
AE9856,21164163552,CURREY,"CA,Solano County",NAD_83(2011),2010.0000,38.4750818806,N382830.29477,0.005,-121.8225538611,W1214921.19390,0.004,-10.803,0.009,NAVD88 (Computed using GEOID18),20.737,0.059,2021-04-29 16:26:00+00:00,Geosyntec Consultants,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,CURREY 1997,Monument will probably hold position well,No magnetic material,S,"My Trimble R6 model 4 (S/N: 5321437114; firmware version updated to 5.48 prior to survey).  It was securely set up on this monument for 6hrs.  This Trimble receiver has GPS, GLONASS, and GALILEIO capability, but due to the size of the converted Rinex from the .T02, I used WINTEQC to clip to GPS only to submit to OPUS.

The Instrument height is a fixed height 2m pole.  I specified the correct antenna model and specified measure to APR or bottom of antenna mount when uploading to OPUS."
AE9857,21196090402,WILSON,"CA,Yolo County",NAD_83(2011),2010.0000,38.4949590111,N382941.85244,0.011,-121.6920880694,W1214131.51705,0.007,-21.843,0.015,NAVD88 (Computed using GEOID18),9.455,0.059,2021-04-29 15:35:00+00:00,Geosyntec Consultants,Disk,Survey disk (other agency),Aluminum alloy rod without sleeve (10FT+ or 3.048M+), ,WILSON 1997,Monument will probably hold position well,Marker equipped with bar magnet,S,Station found as described previously.
