pid,ts,designation,stCounty,refFrame,epoch,lat,latDms,latP2p,lon,lonDms,lonP2p,ellHt,ellHtP2p,datum,orthoHt,orthoHtP2p,observed,agency,monumentType,monumentDesc,setting,specificSetting,stamping,stability,magnetic,condition,description
FU1743,22138055331,Y 67,"CA,Kern County",NAD_83(2011),2010.0000,35.3761833000,N352234.25988,0.011,-119.0249693694,W1190129.88973,0.016,88.866,0.016,NAVD88 (Computed using GEOID18),122.217,0.057,2022-05-16 17:06:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Set in top of concrete monument, ,Y 67 1927,May hold commonly subject to ground movement, ,S,FOUND IN GOOD CONDITION AS DESCRIBED
FU1752,20192075818,A 1208,"CA,Kern County",NAD_83(2011),2010.0000,35.3834822500,N352300.53610,0.014,-119.0744522694,W1190428.02817,0.009,88.428,0.037,NAVD88 (Computed using GEOID18),121.898,0.074,2020-07-01 18:20:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Pavement (street sidewalk curb etc.), ,A 1208 1970,Monuments of questionable or unknown reliability, ,S,FOUND IN GOOD CONDITION AS DESCRIBED
FU1927,22364120336,U 1207,"CA,Kern County",NAD_83(2011),2010.0000,35.4422392306,N352632.06123,0.012,-119.4561409500,W1192722.10742,0.007,60.564,0.039,NAVD88 (Computed using GEOID18),95.120,0.073,2022-12-16 18:26:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Massive structures (other than listed below), ,U 1207 1970,Monument will probably hold position well,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
FU1937,24313151104,BUTTONWILLOW 2,"CA,Kern County",NAD_83(2011),2010.0000,35.4278716889,N352540.33808,0.004,-119.4466628889,W1192647.98640,0.012,57.218,0.018,NAVD88 (Computed using GEOID18),91.757,0.062,2024-11-05 18:11:00+00:00,Provost & Pritchard Consulting Group,Disk,Triangulation station disk,Set in top of concrete monument, ,BUTTONWILLOW 2 1960,May hold commonly subject to ground movement, ,S,Station is in a known subsidence area due to water table changes. Use elevation with prudence.
FU1972,19168143556,A 364,"CA,Kern County",NAD_83(2011),2010.0000,35.3984926194,N352354.57343,0.017,-119.3940052694,W1192338.41897,0.008,55.205,0.052,NAVD88 (Computed using GEOID18),89.612,0.082,2019-06-12 20:36:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Set in top of concrete monument, ,A 364 1953,May hold commonly subject to ground movement,No magnetic material,G,Found in good condition as described
FU2121,25322155147,Y 828,"CA,Kern County",NAD_83(2011),2010.0000,35.4996398194,N352958.70335,0.008,-119.2428334000,W1191434.20024,0.010,76.776,0.020,NAVD88 (Computed using GEOID18),110.507,0.067,2025-09-30 16:52:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Set in top of concrete monument, ,Y 828 1947 362.04 28-25-14A,May hold commonly subject to ground movement, ,S,RECOVERED IN GOOD CONDITION.
FU2126,25057113019,K 540,"CA,Kern County",NAD_83(2011),2010.0000,35.4997069111,N352958.94488,0.002,-119.2251044694,W1191330.37609,0.004,81.871,0.017,NAVD88 (Computed using GEOID18),115.542,0.062,2025-02-18 20:51:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Massive structures (other than listed below), ,K 540 1957,Monument will probably hold position well, ,S,MARK IS IN A KNOWN SUBSIDENCE FEATURE WITHIN CALIFORNIA'S CENTRAL VALLEY CAUSED BY OVER PUMPING OF GROUNDWATER AND COMPACTION OF AQUIFERS.
FU2215,16197081914,N 824,"CA,Kern County",NAD_83(2011),2010.0000,35.0486986333,N350255.31508,0.013,-119.4148322861,W1192453.39623,0.018,285.998,0.062,NAVD88 (Computed using GEOID18),319.785,0.087,2016-06-24 13:50:00+00:00,Quantum Spatial,Disk,Bench mark disk,Set in top of concrete monument, ,N 824 1947,Monument will probably hold position well,No magnetic material,G,STATION RECOVERED BY QSI IN GOOD CONDITION.
FU2240,21174112612,L 991,"CA,Kern County",NAD_83(2011),2010.0000,35.2087966694,N351231.66801,0.011,-119.0412515194,W1190228.50547,0.008,62.031,0.030,NAVD88 (Computed using GEOID18),95.934,0.066,2021-06-18 17:58:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Light structures (other than listed below), ,L 991 1965,Monuments of questionable or unknown reliability,No magnetic material,S,FOUND IN GOOD CONDITION AS DESCRIBED
FU2252,24310154936,19 AA,"CA,Kern County",NAD_83(2011),2010.0000,35.1520025306,N350907.20911,0.015,-119.1095882000,W1190634.51752,0.015,52.715,0.009,NAVD88 (Computed using GEOID18),86.824,0.069,2024-10-15 18:27:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Set in top of concrete monument, ,19 AA 291 1954,May hold commonly subject to ground movement,No magnetic material,S,Found in good condition as described. A new stop sign now 0.5ft south of mark. Mark is in an area of known vertical change due to water-table change. Use elevation with prudence.
FU2266,25002095402,V 54 RESET,"CA,Kern County",NAD_83(2011),2010.0000,35.2083293889,N351229.98580,0.008,-119.0029635611,W1190010.66882,0.019,60.015,0.014,NAVD88 (Computed using GEOID18),93.779,0.065,2024-12-23 22:16:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Set in top of concrete monument, ,V 54 1926 RESET 1950,May hold commonly subject to ground movement, ,S,Mark is located in a known subsidence feature due to over pumping of groundwater and the compaction/collapse of aquifers
FU2268,25002095949,S 542,"CA,Kern County",NAD_83(2011),2010.0000,35.2086690389,N351231.20854,0.007,-119.0056610806,W1190020.37989,0.016,60.591,0.021,NAVD88 (Computed using GEOID18),94.365,0.066,2024-12-23 23:10:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Copper-clad steel rod without sleeve (10FT+ or 3.048M+), ,S 542 1957 100 D,Monument will probably hold position well, ,S,Mark is located in a known subsidence feature due to over pumping of groundwater and the compaction/collapse of aquifers
FU2269,25002095723,H 365,"CA,Kern County",NAD_83(2011),2010.0000,35.1939388694,N351138.17993,0.015,-119.0035954194,W1190012.94351,0.019,57.126,0.005,NAVD88 (Computed using GEOID18),90.914,0.061,2024-12-24 00:01:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Set in top of concrete monument, ,H 365 1953,May hold commonly subject to ground movement, ,S,Mark is located in a known subsidence feature due to over pumping of groundwater and the compaction/collapse of aquifers
FU2456,22243064107,MI 259.65 A,"CA,Kern County",NAD_83(2011),2010.0000,35.0875968000,N350515.34848,0.015,-119.3133478000,W1191848.05208,0.011,120.672,0.017,NAVD88 (Computed using GEOID18),154.796,0.063,2022-08-29 19:46:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Retaining wall or concrete ledge, ,MILE 259.65 A,May hold commonly subject to ground movement,No magnetic material,G,FOUND IN GOOD CONDITION AS DESCRIBED
FU2534,16225113036,G 542,"CA,Kern County",NAD_83(2011),2010.0000,35.1799013750,N351047.64495,0.003,-119.1285072417,W1190742.62607,0.024,53.476,0.045,NAVD88 (Computed using GEOID18),87.633,0.077,2016-02-29 18:48:00+00:00,Quantum Spatial,Disk,Bench mark disk,Set in top of concrete monument, ,G 542 1957,May hold commonly subject to ground movement,No magnetic material,G,Recovered as Described
FU2610,21326154745,V 1206,"CA,Kern County",NAD_83(2011),2010.0000,35.6159819306,N353657.53495,0.008,-119.6070858611,W1193625.50910,0.001,37.926,0.028,NAVD88 (Computed using GEOID18),72.666,0.073,2021-11-19 17:48:00+00:00,Provost & Pritchard Consulting Group,Disk,Bench mark disk,Massive structures (other than listed below), ,V 1206 1970,Monument will probably hold position well, ,S,FOUND IN GOOD CONDITION AS DESCRIBED
FU2687,21355140024,B 284,"CA,Kern County",NAD_83(2011),2010.0000,35.5510421694,N353303.75181,0.013,-119.7888935500,W1194720.01678,0.008,152.079,0.014,NAVD88 (Computed using GEOID18),186.867,0.065,2021-03-10 16:40:00+00:00,Towill Incorporated,Disk,Bench mark disk,Set in top of concrete monument, ,B 284 1934,May hold commonly subject to ground movement,No magnetic material,S, 
FU2762,21326073804,PRAIRIE,"CA,Kern County",NAD_83(2011),2010.0000,35.7243269611,N354327.57706,0.008,-119.5795567500,W1193446.40430,0.004,31.772,0.024,NAVD88 (Computed using GEOID18),66.312,0.074,2021-11-17 18:34:00+00:00,Provost & Pritchard Consulting Group,Disk,Triangulation station disk,Set in top of concrete monument, ,PRAIRIE 1942,May hold commonly subject to ground movement, ,S,FOUND IN GOOD CONDITION AS DESCRIBED
FU2814,21313112444,MID 2,"CA,Kern County",NAD_83(2011),2010.0000,35.7321263111,N354355.65472,0.003,-119.7415630500,W1194429.62698,0.005,33.014,0.019,NAVD88 (Computed using GEOID18),67.853,0.063,2021-11-03 15:15:00+00:00,Provost & Pritchard Consulting Group,Disk,Triangulation station disk,Set in top of concrete monument, ,MID 2 1969,May hold commonly subject to ground movement,No magnetic material,G,"FOUND MARK AS DESCRIBED. MARK APPEARS TO BE ORIGINAL RESET OF MID DESTROYED IN CONSTRUCTION. RENAMED MID 2 IN 1969 ALTHOUGH STAMPING INCLUDED ""B.M. RESET"" IN NAMING CONVENTION."
