pid,navd88_match_line,navd88_ft,ngvd29_flag,ngvd29_ft,error
KS0745,"NAVD 88
 ORTHO HEIGHT - 22.607 (meters) 74.17 (feet) ADJUSTED",74.17,True,71.92,
KS1303,,,,,
KS0920,,,,,
KS0911,"NAVD 88
 ORTHO HEIGHT - 23.968 (meters) 78.64 (feet) ADJUSTED",78.64,True,76.36,
KS1281,,,,,
KS1280,,,,,
KS0753,"NAVD 88
 ORTHO HEIGHT - 27.108 (meters) 88.94 (feet) ADJUSTED",88.94,True,86.71,
KS0906,"NAVD 88
 ORTHO HEIGHT - 26.649 (meters) 87.43 (feet) ADJUSTED",87.43,True,85.15,
KS0898,"NAVD 88
 ORTHO HEIGHT - 28.512 (meters) 93.54 (feet) ADJUSTED",93.54,True,91.25,
KS1287,,,,,
KS1256,,,,,
KS0894,"NAVD 88
 ORTHO HEIGHT - 29.340 (meters) 96.26 (feet) ADJUSTED",96.26,True,93.95,
KS0889,"NAVD 88
 ORTHO HEIGHT - 31.143 (meters) 102.18 (feet) ADJUSTED",102.18,True,99.86,
KS0892,"NAVD 88
 ORTHO HEIGHT - 30.036 (meters) 98.54 (feet) ADJUSTED",98.54,True,96.22,
JS2435,,,,,
JS0872,"NAVD 88
 ORTHO HEIGHT - 32.117 (meters) 105.37 (feet) ADJUSTED",105.37,False,103.04,
KS1243,,,,,
JS0873,"NAVD 88
 ORTHO HEIGHT - 34.451 (meters) 113.03 (feet) ADJUSTED",113.03,False,110.69,
KS1141,"NAVD 88
 ORTHO HEIGHT - 37.520 (meters) 123.10 (feet) ADJUSTED",123.1,True,120.77,
JS0868,"NAVD 88
 ORTHO HEIGHT - 35.64 (+/-2cm) 116.9 (feet) VERTCON3",116.9,False,114.7,
JS2438,,,,,
JS0898,"NAVD 88
 ORTHO HEIGHT - 38.73 (+/-2cm) 127.1 (feet) VERTCON3",127.1,False,124.8,
JS0902,"NAVD 88
 ORTHO HEIGHT - 40.960 (meters) 134.38 (feet) ADJUSTED",134.38,False,132.1,
KS1139,"NAVD 88
 ORTHO HEIGHT - 39.475 (meters) 129.51 (feet) ADJUSTED",129.51,True,127.17,
JS2437,,,,,
JS0904,"NAVD 88
 ORTHO HEIGHT - 42.928 (meters) 140.84 (feet) ADJUSTED",140.84,False,138.53,
